x:0.990152151455     ,y:-0.139995417669     ,angle:1.7112531136     ,degrees:98.0445358904
x:0.711203306     ,y:0.702986385028     ,angle:0.791208436629     ,degrees:45.3314961682
x:0.714483146907     ,y:0.699652651525     ,angle:0.795885099467     ,degrees:45.5994408889
x:0.718293932174     ,y:0.695739769599     ,angle:0.801347040833     ,degrees:45.9123773575
x:0.7227972489     ,y:0.691060154388     ,angle:0.807841562241     ,degrees:46.284474467
x:0.727672409362     ,y:0.685924824346     ,angle:0.81492245298     ,degrees:46.690167021
x:0.732798582472     ,y:0.680445616877     ,angle:0.822425760877     ,degrees:47.1200615437
x:0.738856118089     ,y:0.67386321814     ,angle:0.831371276206     ,degrees:47.6325858989
x:0.745671792683     ,y:0.666313422945     ,angle:0.841542496366     ,degrees:48.2153357868
x:0.753130217618     ,y:0.657871473245     ,angle:0.852807307022     ,degrees:48.8607418485
x:0.760440546376     ,y:0.649407557261     ,angle:0.863991227805     ,degrees:49.5015134058
x:0.767662525579     ,y:0.640854310137     ,angle:0.875185705401     ,degrees:50.1428898053
x:0.774594436728     ,y:0.632458266284     ,angle:0.886073593886     ,degrees:50.7667004881
x:0.781356899698     ,y:0.624084445644     ,angle:0.896837092203     ,degrees:51.3833843607
x:0.787984638178     ,y:0.615694900089     ,angle:0.907528793701     ,degrees:51.9959547063
x:0.794484129724     ,y:0.607284914695     ,angle:0.918157636923     ,degrees:52.6049236498
x:0.801326799922     ,y:0.598226846377     ,angle:0.929509822663     ,degrees:53.2553357797
x:0.808260112459     ,y:0.588825602881     ,angle:0.941191250388     ,degrees:53.9246114997
x:0.814457358496     ,y:0.580223414895     ,angle:0.951793351571     ,degrees:54.5320482849
x:0.820918529509     ,y:0.57104532912     ,angle:0.963017669458     ,degrees:55.1751343539
x:0.827257781676     ,y:0.561822536621     ,angle:0.974209064668     ,degrees:55.8163341511
x:0.833215076239     ,y:0.552949036284     ,angle:0.984896882692     ,degrees:56.4286819969
x:0.839397216865     ,y:0.543518456282     ,angle:0.996173231802     ,degrees:57.0747491429
x:0.846078979384     ,y:0.533057558472     ,angle:1.00858606032     ,degrees:57.7859297397
x:0.853243048038     ,y:0.521513471517     ,angle:1.02217254856     ,degrees:58.5643539972
x:0.861167766281     ,y:0.508320841908     ,angle:1.0375625229     ,degrees:59.4461071869
x:0.869662772772     ,y:0.493646292049     ,angle:1.05451877359     ,degrees:60.4175986139
x:0.878061020972     ,y:0.478548684514     ,angle:1.07179522432     ,degrees:61.4074355823
x:0.885625357973     ,y:0.46440039332     ,angle:1.08783887912     ,degrees:62.3266407401
x:0.892943472738     ,y:0.450168806666     ,angle:1.10384195157     ,degrees:63.2435207731
x:0.899640305393     ,y:0.436631791     ,angle:1.11894502068     ,degrees:64.1088360148
x:0.906553033539     ,y:0.422091930011     ,angle:1.13504467802     ,degrees:65.0312497827
x:0.912951905688     ,y:0.408067173269     ,angle:1.15046038666     ,degrees:65.9144773931
x:0.919478979399     ,y:0.393139169306     ,angle:1.16675314166     ,degrees:66.8479544984
x:0.926010519209     ,y:0.37749770637     ,angle:1.18370375388     ,degrees:67.8191228748
x:0.932316021457     ,y:0.361644626858     ,angle:1.20076501261     ,degrees:68.7966306325
x:0.938129076678     ,y:0.346285771424     ,angle:1.21718731794     ,degrees:69.7375301941
x:0.943796099796     ,y:0.330528246918     ,angle:1.23393310196     ,degrees:70.6969631439
x:0.949539062739     ,y:0.313648797753     ,angle:1.25176301642     ,degrees:71.7185102625
x:0.95554195449     ,y:0.294855173279     ,angle:1.27149237667     ,degrees:72.8488842292
x:0.960888202089     ,y:0.276936568705     ,angle:1.29019181362     ,degrees:73.9202497697
x:0.965972943549     ,y:0.258643137027     ,angle:1.30917904799     ,degrees:75.0081043758
x:0.970525464539     ,y:0.240998594772     ,angle:1.32740168522     ,degrees:76.0521521531
x:0.974482068979     ,y:0.224465358662     ,angle:1.34440196685     ,degrees:77.0261662887
x:0.978224997178     ,y:0.207547235338     ,angle:1.36172939944     ,degrees:78.0189242117
x:0.981760650134     ,y:0.190121082071     ,angle:1.37951085018     ,degrees:79.0376946501
x:0.985213789854     ,y:0.171329472894     ,angle:1.39861738976     ,degrees:80.1323847292
x:0.988377455695     ,y:0.152019752249     ,angle:1.41818487069     ,degrees:81.2534839811
x:0.991109018906     ,y:0.133052292891     ,angle:1.43734830437     ,degrees:82.3514337505
x:0.993432699219     ,y:0.11441797115     ,angle:1.45612722341     ,degrees:83.4273531378
x:0.995309869032     ,y:0.0967381238615     ,angle:1.47390668047     ,degrees:84.4460093511
x:0.996844926366     ,y:0.0793737537082     ,angle:1.49133899091     ,degrees:85.4447761455
x:0.998062812088     ,y:0.0622143321647     ,angle:1.50854178986     ,degrees:86.4303933081
x:0.999004221526     ,y:0.0446157525298     ,angle:1.52616575923     ,degrees:87.4401410092
x:0.999666871528     ,y:0.0258098037529     ,angle:1.54498365667     ,degrees:88.5182936251
x:0.999984517056     ,y:0.00556467866038     ,angle:1.56523161942     ,degrees:89.6783804028
x:0.999876549768     ,y:-0.0157125817311     ,angle:1.58650955513     ,degrees:90.8974784517
x:0.999328573923     ,y:-0.0366387955783     ,angle:1.60744332466     ,degrees:92.0968578429
x:0.998368244887     ,y:-0.057103831751     ,angle:1.62793123866     ,degrees:93.2706923876
x:0.997053725645     ,y:-0.0767063763779     ,angle:1.64757812474     ,degrees:94.396341079
x:0.995411931978     ,y:-0.0956822119051     ,angle:1.66662513995     ,degrees:95.4876207682
x:0.99347572566     ,y:-0.114043774601     ,angle:1.68508876809     ,degrees:96.5454758789
x:0.991099114128     ,y:-0.13312605295     ,angle:1.70431877133     ,degrees:97.6472396848
x:0.988294096356     ,y:-0.152560739079     ,angle:1.72395515438     ,degrees:98.7722866152
x:0.985146683007     ,y:-0.1717149177     ,angle:1.74336650675     ,degrees:99.884440638
x:0.981385336315     ,y:-0.192049008499     ,angle:1.76404592205     ,degrees:101.069247058
x:0.977236978692     ,y:-0.212150624501     ,angle:1.7845714824     ,degrees:102.245238512
x:0.972529851077     ,y:-0.232778196498     ,angle:1.80572970721     ,degrees:103.457477845
x:0.967434460381     ,y:-0.253121640455     ,angle:1.82670194695     ,degrees:104.659061348
x:0.961699826636     ,y:-0.274104803769     ,angle:1.84845505767     ,degrees:105.905384074
x:0.955619238214     ,y:-0.294604602061     ,angle:1.86983805809     ,degrees:107.1305017
x:0.948997552893     ,y:-0.315283435347     ,angle:1.89155163419     ,degrees:108.374559329
x:0.942088957336     ,y:-0.335363081549     ,angle:1.91278693097     ,degrees:109.591214423
x:0.934694020427     ,y:-0.35545335584     ,angle:1.93419538064     ,degrees:110.817790139
x:0.926789628143     ,y:-0.375580863686     ,angle:1.95581976991     ,degrees:112.056737897
x:0.918196298545     ,y:-0.396125683766     ,angle:1.978089827     ,degrees:113.332678548
x:0.909084038593     ,y:-0.41661278278     ,angle:2.00051248457     ,degrees:114.617362291
x:0.899281762035     ,y:-0.437369766297     ,angle:2.02346809675     ,degrees:115.932581135
x:0.888921442927     ,y:-0.458059677667     ,angle:2.04660751193     ,degrees:117.258330789
x:0.878062240628     ,y:-0.47854644663     ,angle:2.0697948806     ,degrees:118.586827889
x:0.866923020675     ,y:-0.498442049012     ,angle:2.09259706785     ,degrees:119.893256405
x:0.855531175203     ,y:-0.517751299618     ,angle:2.11501675464     ,degrees:121.17776994
x:0.844196809861     ,y:-0.536033344318     ,angle:2.13652765509     ,degrees:122.410215471
x:0.832166374513     ,y:-0.554526036477     ,angle:2.15858963097     ,degrees:123.674234317
x:0.820456367705     ,y:-0.571709146938     ,angle:2.17938383991     ,degrees:124.865617724
x:0.80884393342     ,y:-0.58802337655     ,angle:2.19940922677     ,degrees:126.012952238
x:0.797890064105     ,y:-0.602802990704     ,angle:2.21780579689     ,degrees:127.066965327
x:0.78694057796     ,y:-0.617028789247     ,angle:2.23575776742     ,degrees:128.095505526
x:0.775598432596     ,y:-0.631226640245     ,angle:2.25393006287     ,degrees:129.136669022
x:0.764159419529     ,y:-0.645027426971     ,angle:2.27185550117     ,degrees:130.163689084
x:0.753331405811     ,y:-0.657641082216     ,angle:2.28847947614     ,degrees:131.116143106
x:0.742736877006     ,y:-0.669583401478     ,angle:2.30444407583     ,degrees:132.03081888
x:0.733178932596     ,y:-0.680035773174     ,angle:2.31860775223     ,degrees:132.842312556
x:0.724698474846     ,y:-0.689066122049     ,angle:2.33099594528     ,degrees:133.552081689
x:0.716671352512     ,y:-0.697411049875     ,angle:2.34257497854     ,degrees:134.215490821
x:0.709138209039     ,y:-0.705069500461     ,angle:2.3533174748     ,degrees:134.830971401
x:0.701642307996     ,y:-0.712529347908     ,angle:2.36389286598     ,degrees:135.436877864
x:0.694248893985     ,y:-0.719735002067     ,angle:2.37421686566     ,degrees:136.028381101
x:0.687359525525     ,y:-0.72631734295     ,angle:2.38374531234     ,degrees:136.574303925
x:0.680333782648     ,y:-0.732902411094     ,angle:2.39337468937     ,degrees:137.126009453
x:0.673538380695     ,y:-0.739152250711     ,angle:2.40260716403     ,degrees:137.654974856
x:0.666802888445     ,y:-0.745234129627     ,angle:2.41168222173     ,degrees:138.174921212
x:0.660828481159     ,y:-0.750536953446     ,angle:2.41967057714     ,degrees:138.632606047
x:0.65537407647     ,y:-0.755304455098     ,angle:2.42691487366     ,degrees:139.047660771
x:0.650580963705     ,y:-0.759436903017     ,angle:2.43324347457     ,degrees:139.410251632
x:0.646591607847     ,y:-0.762836347235     ,angle:2.43848477632     ,degrees:139.710546774
x:0.643186301364     ,y:-0.765709724202     ,angle:2.44294038405     ,degrees:139.965826364
